"","suminc_before_application","default_option","quarter_ofyear","children","years_education","totweeksbenefits26","totincome26","age","benefits_wk13","location","female","partner","totweekswage26","benefits_wk26","searchperiod"
"1081",10.1557369,"normal",1,0,6,26,2254.5605,33,1,"Centrum/Oost",0,1,22,1,0
"1082",23.499338,"normal",3,0,15,26,6534.4932,47,1,"Centrum/Oost",1,0,26,1,0
"1083",21.201443,"normal",1,0,15,0,11228.691,28,0,"Centrum/Oost",0,0,23,0,1
"1084",11.290677,"normal",1,0,16.5,14,6247.8486,36,1,"Centrum/Oost",0,0,10,0,0
"1085",36.187939,"normal",1,0,6,26,4573.0161,28,1,"Centrum/Oost",1,0,2,1,0
"1086",36.492996,"normal",2,1,11.5,26,7932.2954,43,1,"Centrum/Oost",1,0,26,1,0
"1087",1,"normal",2,0,6,24,3936.6497,56,1,"Centrum/Oost",0,0,0,1,0
"1088",59.815819,"normal",4,0,13,24,2555.824,35,1,"Centrum/Oost",0,0,0,1,1
"1089",3.5932703,"normal",1,0,10,25,7882.2378,44,1,"Centrum/Oost",0,0,0,1,0
"1090",35.623398,"normal",3,1,15,26,7668.4985,42,1,"Centrum/Oost",1,0,8,1,0
"1091",4.9095836,"normal",3,0,16.5,0,5983.4976,32,0,"Centrum/Oost",0,1,23,0,0
"1092",55.110291,"normal",2,0,13,26,4662.709,30,1,"Centrum/Oost",1,0,0,1,0
"1093",1,"normal",2,0,11.5,26,4763.3623,48,1,"Centrum/Oost",0,1,0,1,0
"1094",31.221382,"normal",1,0,16.5,8,13537.637,29,0,"Centrum/Oost",1,0,16,0,1
"1095",1.39364329,"normal",1,0,16.5,22,5186.7725,46,1,"Centrum/Oost",1,0,9,1,0
"1096",47.280537,"never",4,0,16.5,25,5765.6816,30,1,"Centrum/Oost",1,0,19,1,0
"1097",1,"normal",2,0,11.5,0,0,59,0,"Centrum/Oost",0,0,0,0,0
"1098",8.294827,"normal",1,0,10,26,3154.4175,49,1,"Centrum/Oost",1,1,0,1,0
"1099",1,"normal",3,0,16.5,25,5409.1045,28,1,"Centrum/Oost",0,0,0,1,0
"1100",15.873298,"never",4,0,11.5,26,7523.0303,30,1,"Centrum/Oost",0,0,26,1,0
"1101",1,"normal",2,0,11.5,0,0,45,0,"Centrum/Oost",1,0,0,0,0
"1102",27.850161,"normal",4,1,13,0,6186.769,29,0,"Centrum/Oost",1,0,26,0,0
"1103",28.191154,"normal",1,0,10,26,2290.5713,52,1,"Centrum/Oost",0,1,8,1,0
"1104",67.636589,"normal",3,1,10,0,1137.1331,60,0,"Centrum/Oost",0,1,26,0,0
"1105",11.476963,"normal",2,0,16.5,0,9333.8086,36,0,"Centrum/Oost",1,0,25,0,0
"1106",1,"normal",2,0,13,26,6988.6973,43,1,"Centrum/Oost",1,0,0,1,0
"1107",42.667538,"never",3,0,13,4,9587.1211,41,0,"Centrum/Oost",0,0,26,0,0
"1108",42.266266,"normal",2,0,13,26,0,47,1,"Centrum/Oost",0,0,0,1,0
"1109",43.222256,"normal",2,0,10,26,6266.5303,29,1,"Centrum/Oost",0,0,14,1,0
"1110",1.057275984,"normal",2,1,10,26,0,50,1,"Centrum/Oost",0,1,0,1,0
"1111",1,"normal",2,0,15,26,3200.2539,42,1,"Centrum/Oost",0,0,0,1,0
"1112",34.865143,"normal",3,0,15,26,4648.7056,34,1,"Centrum/Oost",1,0,0,1,0
"1113",1,"normal",2,0,10,26,6545.6514,42,1,"Centrum/Oost",1,0,0,1,0
"1115",33.121746,"normal",2,0,11.5,26,5879.9771,31,1,"Centrum/Oost",0,0,0,1,0
"1116",44.598454,"normal",2,0,11.5,4,9182.9736,28,0,"Centrum/Oost",0,0,25,0,0
"1117",57.507866,"normal",3,0,16.5,0,0,55,0,"Centrum/Oost",1,0,0,0,0
"1118",32.391483,"never",4,0,13,26,8802.123,37,1,"Centrum/Oost",0,0,23,1,0
"1119",1,"normal",2,0,15,26,5437.813,56,1,"Centrum/Oost",1,0,0,1,0
"1120",1.37049994,"normal",2,0,10,26,5438.6294,45,1,"Centrum/Oost",1,0,0,1,0
"1121",41.754208,"never",4,0,10,0,387.20078,38,0,"Centrum/Oost",0,0,0,0,0
"1122",32.970741,"normal",1,0,6,25,7927.0405,33,1,"Centrum/Oost",0,0,26,0,0
"1123",32.181173,"normal",1,1,15,0,10633.904,31,0,"Centrum/Oost",0,1,26,0,0
"1124",27.57966,"never",4,0,15,26,6801.8564,29,1,"Centrum/Oost",0,0,8,1,0
"1125",37.089207,"normal",2,0,10,1,5712.7266,35,0,"Centrum/Oost",1,0,24,0,0
"1126",43.933285,"normal",4,0,13,15,6392.2813,32,1,"Zuid/West",0,0,15,0,0
"1127",1,"normal",3,0,10,26,5285.0664,36,1,"Zuidoost",0,0,5,1,1
"1128",4.743809,"normal",3,0,10,26,5401.4834,36,1,"Zuidoost",0,0,0,1,1
"1129",62.709324,"normal",4,0,11.5,26,5549.2104,29,1,"Zuidoost",0,0,0,1,1
"1130",30.382299,"normal",4,0,10,12,7458.604,28,0,"Zuidoost",1,0,26,0,1
"1131",23.948257,"normal",3,0,13,26,5553.8184,38,1,"Centrum/Oost",1,0,0,1,0
"1132",48.074955,"normal",1,0,15,26,6449.814,62,1,"Centrum/Oost",0,0,1,1,0
"1133",36.296593,"never",1,0,10,26,3777.835,32,1,"Centrum/Oost",0,0,0,1,0
"1134",24.112812,"normal",1,0,13,26,0,35,1,"Centrum/Oost",1,0,0,1,1
"1135",35.442356,"normal",3,0,13,24,5383.1836,29,1,"Centrum/Oost",0,0,0,1,1
"1136",38.858486,"normal",3,0,10,26,12595.058,47,1,"Centrum/Oost",0,0,13,1,0
"1137",13.828524,"normal",3,0,11.5,14,6603.9756,30,1,"Centrum/Oost",0,0,26,0,0
"1138",43.960384,"normal",1,0,10,26,5458.147,36,1,"Centrum/Oost",0,0,0,1,0
"1139",32.054585,"normal",4,0,16.5,17,7741.8613,28,1,"Centrum/Oost",0,0,18,0,1
"1140",49.080383,"normal",4,0,16.5,10,10089.417,30,0,"Centrum/Oost",0,0,18,0,1
"1141",64.668381,"normal",1,0,15,0,2623.073,34,0,"Centrum/Oost",1,0,17,0,1
"1142",51.462204,"normal",4,1,16.5,22,8299.0791,43,1,"Centrum/Oost",0,1,0,1,1
"1143",32.978418,"normal",3,0,10,26,5391.4829,43,1,"Centrum/Oost",0,0,0,1,0
"1144",21.155779,"normal",1,0,6,26,5571.0845,47,1,"Centrum/Oost",0,0,0,1,0
"1145",35.091545,"never",1,1,15,23,1664.9324,35,1,"Centrum/Oost",1,0,0,1,0
"1146",7.1551995,"normal",4,0,15,13,7054.6875,38,1,"Centrum/Oost",0,0,13,0,0
"1147",20.129555,"normal",1,0,13,25,8087.4849,34,1,"Centrum/Oost",0,0,6,1,0
"1148",34.72451,"normal",4,0,15,26,6433.4443,35,1,"Centrum/Oost",0,0,26,1,1
"1150",22.071672,"normal",1,0,15,26,5671.4668,43,1,"Centrum/Oost",0,0,0,1,0
"1151",34.66,"never",1,0,13,0,5113.333,30,0,"Centrum/Oost",1,0,10,0,0
"1152",7.6217685,"normal",3,0,15,26,10188.543,28,1,"Centrum/Oost",1,0,16,1,0
"1153",9.4789,"normal",3,0,6,26,2971.7007,34,1,"Centrum/Oost",1,1,0,1,0
"1154",38.819843,"normal",3,0,10,25,6605.4604,36,1,"Centrum/Oost",0,0,3,0,0
"1155",39.50943,"never",2,0,10,12,7306.4585,35,0,"Centrum/Oost",0,0,13,1,0
"1156",6.2986794,"never",1,0,11.5,9,1544.832,44,0,"Centrum/Oost",0,0,0,0,0
"1157",14.502895,"normal",4,0,15,10,8499.5127,29,0,"Centrum/Oost",0,0,20,0,0
"1159",13.032034,"normal",1,0,15,2,3433.7898,29,0,"Centrum/Oost",1,0,16,0,1
"1160",46.416084,"normal",4,0,11.5,10,9133.8965,50,1,"Centrum/Oost",1,0,13,0,1
"1161",25.365442,"normal",3,0,10,26,4090.6538,37,1,"Centrum/Oost",0,1,0,1,0
"1162",46.929001,"normal",3,0,16.5,26,6360.4868,41,1,"Centrum/Oost",1,0,0,1,0
"1163",25.247986,"normal",1,0,13,4,8540.8633,29,0,"Centrum/Oost",1,0,23,0,1
"1164",1,"normal",4,0,6,26,6580.0635,51,1,"Centrum/Oost",0,0,24,1,1
"1165",43.052185,"normal",4,0,11.5,4,12599.72,29,0,"Centrum/Oost",0,0,21,0,0
"1166",18.019377,"normal",4,0,15,14,5879.0537,28,1,"Centrum/Oost",0,0,13,0,1
"1167",4.4452872,"normal",1,0,13,26,6341.7617,47,1,"Centrum/Oost",0,0,26,1,0
"1168",18.030033,"normal",3,1,13,0,4175.77,32,0,"Centrum/Oost",1,0,24,0,0
"1169",31.076057,"never",1,0,10,26,5279.6714,30,1,"Centrum/Oost",1,0,0,1,0
"1170",6.0215755,"normal",4,0,11.5,26,6227.1494,48,1,"Centrum/Oost",1,0,17,1,1
"1171",10.7112122,"normal",2,0,15,26,7083.8159,52,1,"Centrum/Oost",1,0,0,1,0
