state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
5,30,59,2009,2889450,.0018637602,.48988563,7.4000001,0,1
5,31,48,2009,2889450,.00186672,.48988563,7.5,0,1
5,32,46,2009,2889450,.0018625426,.48988563,7.5999999,0,1
5,33,53,2009,2889450,.0018613783,.48988563,7.5999999,0,1
5,34,50,2009,2889450,.0018595873,.48988563,7.6999998,1,1
5,35,48,2009,2889450,.0018582721,.48988563,7.8000002,1,1
5,36,31,2009,2889450,.0018615506,.48988563,7.9000001,1,1
5,37,24,2010,2921606,.0018552106,.49000001,8,1,1
5,38,19,2010,2921606,.0018547483,.49000001,8,1,1
5,39,33,2010,2921606,.0018471634,.49000001,7.9000001,1,1
5,40,45,2010,2921606,.0018439606,.49000001,7.9000001,1,1
5,41,46,2010,2921606,.0018425323,.49000001,7.8000002,1,1
5,42,46,2010,2921606,.0018443329,.49000001,7.8000002,1,1
5,43,48,2010,2921606,.0018439437,.49000001,7.8000002,1,1
5,44,44,2010,2921606,.0018414013,.49000001,7.8000002,1,1
5,45,62,2010,2921606,.0018403308,.49000001,7.8000002,1,1
5,46,54,2010,2921606,.0018380421,.49000001,7.9000001,1,1
5,47,45,2010,2921606,.0018372693,.49000001,7.9000001,1,1
5,48,43,2010,2921606,.0018341173,.49000001,7.9000001,1,1
6,1,282,2007,36553216,.0018575606,.5001449,5,0,1
6,2,260,2007,36553216,.001847675,.5001449,5,0,1
6,3,318,2007,36553216,.0018310023,.5001449,5.0999999,0,1
6,4,296,2007,36553216,.0018191845,.5001449,5.1999998,0,1
6,5,297,2007,36553216,.0018081355,.5001449,5.3000002,0,1
6,6,291,2007,36553216,.0018046382,.5001449,5.4000001,0,1
6,7,294,2007,36553216,.0018050974,.5001449,5.5,0,1
6,8,338,2007,36553216,.0018084138,.5001449,5.5999999,0,1
6,9,296,2007,36553216,.0018034437,.5001449,5.6999998,0,1
6,10,318,2007,36553216,.001799594,.5001449,5.8000002,0,1
6,11,319,2007,36553216,.0017889682,.5001449,5.8000002,0,1
6,12,282,2007,36553216,.0017901693,.5001449,5.9000001,0,1
6,13,236,2008,36756664,.0030272882,.50040638,5.9000001,0,1
6,14,259,2008,36756664,.0030185222,.50040638,6,0,1
6,15,223,2008,36756664,.0029925818,.50040638,6.0999999,0,1
6,16,278,2008,36756664,.0029745419,.50040638,6.3000002,0,1
6,17,255,2008,36756664,.0029497026,.50040638,6.5999999,0,1
6,18,259,2008,36756664,.0029202751,.50040638,6.8000002,0,1
6,19,252,2008,36756664,.0029050207,.50040638,7.0999999,0,1
6,20,289,2008,36756664,.002916663,.50040638,7.4000001,0,1
6,21,294,2008,36756664,.0029207021,.50040638,7.6999998,0,1
6,22,278,2008,36756664,.0029505063,.50040638,8,0,1
6,23,249,2008,36756664,.0030081205,.50040638,8.5,0,1
6,24,273,2008,36756664,.003039557,.50040638,9,0,1
6,25,247,2009,36961664,.0027611619,.50065935,9.5,1,1
6,26,216,2009,36961664,.0027474989,.50065935,10,1,1
6,27,220,2009,36961664,.0027408337,.50065935,10.4,1,1
6,28,222,2009,36961664,.0027340085,.50065935,10.8,1,1
6,29,241,2009,36961664,.0027261334,.50065935,11.1,1,1
6,30,219,2009,36961664,.0027029158,.50065935,11.4,1,1
6,31,210,2009,36961664,.0027072083,.50065935,11.6,1,1
6,32,276,2009,36961664,.00270115,.50065935,11.8,1,1
6,33,225,2009,36961664,.0026994615,.50065935,11.9,1,1
6,34,264,2009,36961664,.0026968641,.50065935,12,1,1
6,35,250,2009,36961664,.0026949567,.50065935,12.1,1,1
6,36,235,2009,36961664,.0026997114,.50065935,12.3,1,1
6,37,174,2010,37349364,.0029997185,.49700001,12.3,1,1
6,38,197,2010,37349364,.0029989711,.49700001,12.4,1,1
6,39,184,2010,37349364,.0029867068,.49700001,12.4,1,1
6,40,211,2010,37349364,.0029815282,.49700001,12.4,1,1
6,41,198,2010,37349364,.0029792187,.49700001,12.3,1,1
6,42,198,2010,37349364,.00298213,.49700001,12.3,1,1
6,43,222,2010,37349364,.0029815007,.49700001,12.3,1,1
6,44,204,2010,37349364,.0029773901,.49700001,12.3,1,1
6,45,230,2010,37349364,.002975659,.49700001,12.3,1,1
6,46,223,2010,37349364,.0029719584,.49700001,12.3,1,1
6,47,238,2010,37349364,.0029707088,.49700001,12.3,1,1
6,48,221,2010,37349364,.0029656126,.49700001,12.3,1,1
8,1,17,2007,4939456,.0019958897,.50316101,3.7,0,1
8,2,43,2007,4939456,.001985268,.50316101,3.5999999,0,1
8,3,44,2007,4939456,.0019673537,.50316101,3.5,0,1
8,4,43,2007,4939456,.0019546559,.50316101,3.5,0,1
8,5,38,2007,4939456,.0019427841,.50316101,3.5,0,1
8,6,57,2007,4939456,.0019390263,.50316101,3.5999999,0,1
8,7,58,2007,4939456,.0019395198,.50316101,3.7,0,1
8,8,43,2007,4939456,.001943083,.50316101,3.8,0,1
8,9,53,2007,4939456,.0019377428,.50316101,3.9000001,0,1
